"household_questionnaire_id","homestead_dwelling_area","land_for_cultivation","land_for_aquaculture_ponds","perm_fallow_land","orchard_land","total_property","land_owned_women","landarea_women","who_owns_it","since_when_month","since_when_year","reason_transfer","woman_homestead","woman_perm_fallow_land","woman_aquaculture_ponds","woman_orchard","woman_land_cultivation","how_many_agricultural_plots","plot_size_pl1_bore_a","plot_size_pl2_bore_b","plot_size_pl3_bore_c","type_pump_pl1_bore_a","type_pump_pl2_bore_b","type_pump_pl3_bore_c","pump_fixed_pl1_bore_a","pump_fixed_pl2_bore_b","pump_fixed_pl3_bore_c","cropecon_plot_pl1_bore_a","cropecon_plot_pl2_bore_b","cropecon_plot_pl3_bore_c","five_years_back_totalland","mode_of_pay_lease","if_fixed_leaserate_per_katha","if_share_of_produce_prop1","if_share_of_produce_prop2","district","year","TreatmentControl","TC"
"T302607029",1,100,0,0,0,101,1,5,2,2,2061,"LESS TAX",NA,NA,NA,NA,5,11,5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,70,2,NA,50,50,2,2018,"Control",0
"T309308027",1,40,0,0,0,41,1,6,2,10,2073,"",NA,NA,NA,NA,6,6,1,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,35,NA,NA,NA,NA,2,2018,"Control",0
"T302608026",0.5,100,10,0,0,110.5,1,40,4,12,2067,"",0,0,0,0,40,11,1,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,10.5,1,2000,0,0,2,2018,"Control",0
"T302608031",1,13,0,3,0,17,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2,NA,NA,NA,2,2018,"Control",0
"T302608030",0.5,35,0,0,0,35.5,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,12,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,40.5,NA,NA,NA,NA,2,2018,"Control",0
"T302608029",1.5,0,0,10,0,11.5,2,0,0,NA,NA,"",NA,NA,NA,NA,NA,2,1,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,60,2,NA,NA,NA,2,2018,"Control",0
"T302606024",3,260,2,10,3,278,1,60,2,1,2040,"LESS TAX",2,0,2,0,56,45,40,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,300,2,NA,NA,0,2,2018,"Control",0
"T301502075",0.699999988079071,15,0,0,5,20.7000007629395,2,0,1,2,NA,"",0,0,0,0,0,3,15,NA,NA,3,NA,NA,2,NA,NA,2,NA,NA,0,NA,NA,NA,0,1,2018,"Control",0
"T303807077",0.5,14,0,0,0,14.5,2,0,1,NA,NA,"",0,0,0,0,0,0,6,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,1,2018,"Control",0
"T301502070",0.5,8,0,0,4,12.5,1,6,2,2,2072,"LESS TAX",0,0.600000023841858,0,0,0,3,90,8,3,3,3,3,2,2,2,1,NA,NA,40,2,NA,NA,NA,1,2018,"Control",0
"T301503071",0.699999988079071,65,0,0,15,80.6999969482422,1,NA,2,NA,NA,"RIGHTS AND LESS TAX",0.800000011920929,0,0,9,0,3,25,4,6,2,2,2,2,2,2,2,2,2,6,NA,NA,NA,0,1,2018,"Control",0
"T301502072",0.5,6,0,0,0,6.5,2,0,0,0,0,"",0,0,0,0,0,2,6,0,0,3,NA,NA,2,NA,NA,NA,NA,NA,0,NA,0,0,0,1,2018,"Control",0
"T303806076",1,20,0,0,0,21,2,0,1,NA,NA,"",0,0,0,0,0,0,8,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,30,NA,NA,0,0,1,2018,"Control",0
"T303806078",0.5,5,0,0,0,5.5,2,NA,1,NA,NA,"",0,0,0,0,0,0,5,0,0,0,NA,NA,2,NA,NA,2,NA,NA,2,2,0,50,50,1,2018,"Control",0
"T301502069",0.5,21.7000007629395,0,0,1,23.2000007629395,NA,NA,NA,NA,NA,"",0,0,0,0,0,NA,1,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,22.2000007629395,NA,NA,NA,0,1,2018,"Control",0
"T301502074",1.5,60,22,0,12,95.5,2,0,1,0,0,"",0,0,0,0,0,0,6,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,20,NA,NA,NA,0,1,2018,"Control",0
"T301503073",2,20,0,0,20,42,2,NA,2,NA,NA,"",0,0,0,0,0,0,20,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,42,NA,NA,NA,0,1,2018,"Control",0
"T307006094",2,100,0,10,0,112,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,30,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,212,NA,NA,NA,0,1,2018,"Control",0
"T307707110",1.60000002384186,5,0,3,0,9.60000038146973,1,3,3,2,2061,"RIGHTS AND LESS TAX",0.600000023841858,0,0,0,3.59999990463257,3,3,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,9.5,2,8350,0,0,1,2018,"Control",0
"T307103092",0.5,20,0,3,1,24.5,2,NA,NA,NA,NA,"",0,0,0,0,0,3,20,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,35.5,NA,NA,NA,0,1,2018,"Control",0
"T304905099",3,60,0,0,1.5,64.5,1,9,2,NA,NA,"",2.5,0,0,0,6.5,4,28,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,44.5,NA,NA,0,0,1,2018,"Control",0
"T308603106",2,70,5.5,0,2.5,80,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,50,12,NA,2,0,NA,2,2,NA,1,2,NA,80,NA,NA,NA,0,1,2018,"Control",0
"T300902111",4,28,0,2,2,36,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,25,15,NA,2,2,NA,1,2,NA,1,1,NA,36,2,0,0,0,1,2018,"Control",0
"T300509098",1,20,0,0,0,21,1,10,2,11,2054,"RIGHTS AND LESS TAX",0,0,0,0,10,6,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2000,0,0,1,2018,"Control",0
"T307001096",5.5,38,0,0,2,45.5,1,10,2,3,2049,"RIGHTS AND LESS TAX",0,0,0,0,10,5,10,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,45.5,NA,NA,0,0,1,2018,"Control",0
"T308601105",3.5,120,20.5,6.5,2,152.5,1,50,2,5,2068,"",3.5,1.5,20,2,24,11,62,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,152,NA,NA,0,0,1,2018,"Control",0
"T307005097",1.5,25,0,0,1,27.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,18,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,27.5,NA,NA,0,0,1,2018,"Control",0
"T301602107",0.400000005960464,40,0,0,0,40.4000015258789,1,5,2,11,2054,"LESS TAX",NA,NA,NA,NA,5,4,30,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,40.4000015258789,NA,NA,0,0,1,2018,"Control",0
"T301907112",2.29999995231628,6,0,0,0.5,8.80000019073486,1,2.29999995231628,2,NA,NA,"",2.29999995231628,0,NA,NA,NA,3,6,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,8.80000019073486,NA,NA,NA,0,1,2018,"Control",0
"T304901100",0.600000023841858,7,0,2,0,9.60000038146973,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9.60000038146973,NA,NA,NA,0,1,2018,"Control",0
"T304905101",3,30,0,0,0,33,1,5,2,NA,NA,"",0,0,0,0,5,4,10,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,22,NA,NA,NA,0,1,2018,"Control",0
"T304906102",0.5,8,0,5,0,13.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,13.1999998092651,NA,NA,NA,0,1,2018,"Control",0
"T302409104",1.10000002384186,7,0,0,0,8.10000038146973,1,8,2,NA,NA,"",1.10000002384186,0,0,0,7.09999990463257,1,7,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,8.10000038146973,NA,NA,0,0,1,2018,"Control",0
"T307103093",0.5,50,0,0,1,51.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,6,20,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,51.5,NA,NA,NA,0,1,2018,"Control",0
"T307705126",2,40,0,0,3,45,1,1,2,NA,2064,"LESS TAX",0,0,0,0,1,NA,8,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,49,NA,NA,0,0,1,2018,"Control",0
"T307003117",1,70,0,7,3,81,2,0,0,NA,NA,"",0,0,0,0,0,25,209,3,NA,2,2,NA,2,2,NA,2,2,NA,77,NA,0,0,0,1,2018,"Control",0
"T305007121",2,60,0,0,0,62,1,1,2,NA,NA,"",1,0,0,0,0,3,17,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,2018,"Control",0
"T305004118",1,90,0,0,5,96,1,1,2,NA,2062,"LESS TAX",1,0,0,0,1,4,20,23,0,2,2,NA,2,2,NA,1,2,NA,96,NA,NA,0,0,1,2018,"Control",0
"T305006119",0.5,30,0,3,0,33.5,2,0,0,NA,NA,"",0,0,0,0,0,6,14,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,43,NA,NA,0,0,1,2018,"Control",0
"T304707129",7,100,0,4,0,111,2,0,0,0,0,"",0,0,0,0,0,9,15,20,8,2,2,2,2,2,2,NA,NA,1,111,NA,0,0,0,1,2018,"Control",0
"T307006116",1.5,100,0,10,5.5,117,2,0,0,NA,NA,"",0,0,0,0,0,9,30,0,0,1,NA,NA,2,NA,NA,1,NA,NA,200,NA,0,0,0,1,2018,"Control",0
"T304802122",1.5,15,0,0,0,16.5,1,7,2,NA,2067,"",0,0,0,0,7,9,3,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,15,1,2000,0,0,1,2018,"Treatment",1
"T302004124",4.5,140,0,2,5,151.5,1,20,2,NA,250,"",0,0,0,0,20,15,45,0,0,2,0,0,2,NA,NA,1,NA,NA,130,2,0,50,50,1,2018,"Control",0
"T307003115",4,50,0,0,5.5,59.5,1,20,3,NA,2070,"LESS TAX",0,0,0,0,20,5,20,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,240,NA,0,0,0,1,2018,"Control",0
"T306708132",2,65,0,2,0,69,1,5,2,NA,2070,"",0,0,0,0,5,NA,NA,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,65,NA,0,0,0,1,2018,"Control",0
"T304705128",3,25,0,0,0,28,1,28,2,NA,2070,"",3,0,0,0,25,1,25,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,2,1,1000,0,0,1,2018,"Control",0
"T307705125",1.5,100,8,0,2,111.5,2,0,0,0,0,"0",0,0,0,0,0,7,20,0,0,2,NA,NA,2,NA,NA,1,NA,NA,85,NA,0,0,0,1,2018,"Control",0
"T302608007",2.40000009536743,100,0,0,1,103.400001525879,1,9,2,2,2068,"LESS TAX",0.200000002980232,0,0,0,9,4,1,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,100,NA,NA,NA,0,2,2018,"Control",0
"T302606012",3,100,20,0,3,126,1,20,2,11,2062,"",2.5,0,0,0,17.5,12,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,2,NA,50,50,2,2018,"Control",0
"T309009013",3,50,4,0,3,60,1,15,3,1,2036,"LESS TAX",0,0,0,0,15,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2018,"Control",0
"T302608003",1,60,0,0,4,65,1,13,2,1,2065,"LESS TAX",0,0,0,0,13,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,0,0,2,2018,"Control",0
"T300409001",8.5,90,0,0,5,103.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,7,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,50,50,2,2018,"Control",0
"T300404011",1.5,10,0,0,0,11.5,1,22,2,NA,NA,"",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2018,"Control",0
"T300601005",1.5,40,0,0,0,41.5,1,11,2,0,2065,"",0,0,0,0,11,6,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,41,2,NA,50,50,2,2018,"Control",0
"T302607006",1,50,0,0,0,51,2,0,0,NA,NA,"",NA,NA,NA,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,0,0,2,2018,"Control",0
"T302609002",2,40,0,0.5,3,45.5,1,30.5,2,8,2071,"LESS TAX",NA,NA,NA,NA,30,12,1,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,17,1,2500,0,0,2,2018,"Control",0
"T309303010",3,180,0,0,0,183,1,8,3,8,2037,"LESS TAX",3,0,0,0,87,13,20,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,163,2,NA,NA,0,2,2018,"Control",0
"T303603009",0.5,10,0,0,0,10.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,2,NA,50,50,2,2018,"Control",0
"T302602008",0.5,45,0,17,0.200000002980232,62.7000007629395,1,2,2,2,2066,"OWN WISH",0.200000002980232,0,0,0,0,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.7000007629395,NA,NA,NA,0,2,2018,"Control",0
"T309304113",1.29999995231628,40,0,20,2,63.2999992370605,1,6,2,NA,NA,"",0.600000023841858,0,0,0,0,10,10,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,63.2999992370605,NA,NA,NA,0,1,2018,"Control",0
"T307001095",6,60,2,2,3,73,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,6,30,30,NA,3,3,NA,2,2,NA,1,NA,NA,80,1,1200,2,2,1,2018,"Control",0
"T300901091",2.59999990463257,110,16,0,10,138.600006103516,1,80,2,1,2064,"",0,0,0,0,80,4,70,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,0,0,1,2018,"Treatment",1
"T307808108",3.5,160,0,0,7,170.5,1,6,2,5,2062,"LESS TAX",0,0,0,0,6,11,14,30,20,0,2,2,NA,2,2,1,1,1,130.5,NA,NA,0,0,1,2018,"Control",0
"T304707109",1.5,80,0,0,0,81.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,22,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,81.5,NA,NA,0,0,1,2018,"Control",0
"T301906103",3.5,40,0,0,3,46.5,1,46,2,NA,NA,"",0,0,0,3,40,1,40,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,46.5,NA,NA,0,0,1,2018,"Control",0
"T301808002",2,20,0,0,0,22,2,NA,NA,NA,NA,"",0,0,0,0,0,1,1,2,NA,1,1,NA,1,1,NA,1,2,NA,42,NA,NA,NA,0,3,2018,"Control",0
"T301106005",2,30,0,0,4,36,2,NA,NA,NA,NA,"",0,0,0,0,0,NA,1,2,NA,1,1,NA,1,1,NA,1,2,NA,36,2,0,0,0,3,2018,"Control",0
"T307408001",0.600000023841858,10,0,0,1,11.6000003814697,2,NA,NA,NA,NA,"",0,0,0,0,0,2,1,2,NA,1,1,NA,1,1,NA,1,2,NA,10.6000003814697,NA,0,0,0,3,2018,"Control",0
"T303505004",1,50,0,0,2,53,2,NA,NA,NA,NA,"",0,0,0,0,0,3,1,2,3,1,1,1,1,1,1,1,2,2,53,NA,0,0,0,3,2018,"Control",0
"T302501007",0.5,30,0,0,4,34.5,1,10,2,3,2051,"LESS TAX",0,0,0,0,10,2,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,34.5,NA,0,0,0,3,2018,"Control",0
"T303906006",2,10,0,30,2,44,1,2,5,2,2073,"LESS TAX",2,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0,0,0,3,2018,"Control",0
"T304308003",2,80,3,0,4,89,1,4,2,6,2068,"LESS TAX",0,0,0,4,0,3,1,2,3,1,1,1,1,1,1,1,2,2,89,NA,0,0,0,3,2018,"Control",0
"T305001120",0.5,100,0,0,4,104.5,1,65,2,NA,2046,"",0.5,0,0,4,61,6,40,20,NA,2,2,NA,2,2,NA,1,2,NA,140,NA,0,0,0,1,2018,"Treatment",1
"T304802123",0.5,10,0,0,0.5,11,2,0,0,0,0,"",0,0,0,0,0,6,2.5,0,0,2,0,0,2,NA,NA,1,NA,NA,15,1,2000,0,0,1,2018,"Treatment",1
"T305001121",0.5,140,0,0,5,145.5,1,60,2,NA,2060,"",0,0,0,0,60,5,70,0,0,2,NA,NA,2,NA,NA,1,NA,NA,100,NA,0,0,0,1,2018,"Control",0
"T304706130",1.5,30,0,0,0,1.5,1,10,2,NA,2069,"",0,0,0,0,10,2,20,10,0,2,1,NA,2,2,NA,1,NA,NA,20,1,2000,0,0,1,2018,"Control",0
"T304706131",1,50,0,5,0,56,2,0,0,NA,NA,"",0,0,0,0,0,3,40,0,0,2,NA,NA,2,NA,NA,1,NA,NA,30,2,0,50,50,1,2018,"Control",0
"T304702127",1,20,0,0,0.5,21.5,2,0,0,0,0,"",0,0,0,0,0,2,12,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,30,NA,0,0,0,1,2018,"Control",0
"T300406135",4,100,50,40,2,196,2,NA,NA,NA,NA,"",0,0,0,0,0,9,50,29,18,2,2,2,2,2,2,1,2,2,196,NA,0,0,0,1,2018,"Treatment",1
"T300406089",0.5,60,0,0,2,62.5,2,0,0,NA,NA,"",0,0,0,0,0,4,18,6,NA,2,2,NA,2,2,NA,1,2,NA,62.5,NA,0,0,0,1,2018,"Treatment",1
"T301503134",0.5,5,0,0,5,1,1,2,20,12,2072,"",0,0,0,0,5,2,5,0,0,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,0,0,0,1,2018,"Control",0
"T304705090",0.5,8,0,0,0,8.5,1,8,2,10,2071,"",0.5,0,0,0,8,2,8,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,0,0,0,1,2018,"Control",0
"T305004088",2.5,300,25,0,5,332.5,1,90,2,NA,2040,"LESS TAX",2.5,0,0,5,83,8,140,0,0,2,NA,NA,2,NA,NA,1,NA,NA,400,NA,0,0,0,1,2018,"Control",0
