"household_questionnaire_id","time_to_irrigate_1_katha__p_1","district","year","p1_s","p2_s","p3_s","p1_m","p2_m","p3_m","p1_w","p2_w","p3_w","p123_s","p123_m","p123_w","p123_year","TreatmentControl","TC"
"T302607029",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T309308027",120,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302608026",90,2,2018,24,NA,NA,6,NA,NA,NA,NA,NA,24,6,NA,30,"Control",0
"T302608031",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302608030",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302608029",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302606024",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T301502075",60,1,2018,35,NA,NA,24,NA,NA,NA,NA,NA,35,24,NA,59,"Control",0
"T303807077",60,1,2018,24,NA,NA,6,NA,NA,NA,NA,NA,24,6,NA,30,"Control",0
"T301502070",120,1,2018,320,180,NA,40,8,NA,NA,NA,NA,500,48,NA,548,"Control",0
"T301503071",60,1,2018,20,NA,NA,20,NA,NA,NA,NA,NA,20,20,NA,40,"Control",0
"T301502072",120,1,2018,18,NA,NA,6,NA,NA,NA,NA,NA,18,6,NA,24,"Control",0
"T303806076",60,1,2018,32,NA,NA,8,NA,NA,NA,NA,NA,32,8,NA,40,"Control",0
"T303806078",NA,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T301502069",120,1,2018,60,NA,NA,10,NA,NA,NA,NA,NA,60,10,NA,70,"Control",0
"T301502074",60,1,2018,100,NA,NA,28,NA,NA,NA,NA,NA,100,28,NA,128,"Control",0
"T301503073",60,1,2018,45,NA,NA,24,NA,NA,NA,NA,NA,45,24,NA,69,"Control",0
"T307006094",NA,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307707110",NA,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307103092",60,1,2018,150,NA,NA,52,NA,NA,240,NA,NA,150,52,240,442,"Control",0
"T304905099",60,1,2018,293.99999499321,NA,NA,52.4999991059303,NA,NA,NA,NA,NA,293.99999499321,52.4999991059303,NA,346.49999409914,"Control",0
"T308603106",60,1,2018,300,NA,NA,52.5,NA,NA,60,NA,NA,300,52.5,60,412.5,"Control",0
"T300902111",60,1,2018,660,NA,NA,540,NA,NA,80,NA,NA,660,540,80,1280,"Control",0
"T300509098",NA,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307001096",60,1,2018,93.75,NA,NA,125,NA,NA,31.25,NA,NA,93.75,125,31.25,250,"Control",0
"T308601105",60,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307005097",60,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T301602107",NA,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T301907112",NA,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T304901100",NA,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T304905101",60,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T304906102",NA,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302409104",60,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307103093",NA,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307705126",60,1,2018,160,NA,NA,10,NA,NA,NA,NA,NA,160,10,NA,170,"Control",0
"T307003117",60,1,2018,126,NA,NA,75,NA,NA,225,NA,NA,126,75,225,426,"Control",0
"T305007121",90,1,2018,40,NA,NA,12,NA,NA,NA,NA,NA,40,12,NA,52,"Control",0
"T305004118",75,1,2018,112.5,36.0000014305115,NA,37.5,NA,NA,NA,NA,NA,148.500001430511,37.5,NA,186.000001430511,"Control",0
"T305006119",60,1,2018,48,NA,NA,15,NA,NA,NA,NA,NA,48,15,NA,63,"Control",0
"T304707129",NA,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307006116",120,1,2018,NA,300,NA,NA,105,NA,NA,105,NA,300,105,105,510,"Control",0
"T304802122",60,1,2018,38.4000015258789,NA,NA,36.0000014305115,NA,NA,54.0000021457672,NA,NA,38.4000015258789,36.0000014305115,54.0000021457672,128.400005102158,"Treatment",1
"T302004124",60,1,2018,90,NA,NA,21,NA,NA,12.5,NA,NA,90,21,12.5,123.5,"Control",0
"T307003115",60,1,2018,100,NA,NA,30,NA,NA,NA,NA,NA,100,30,NA,130,"Control",0
"T306708132",60,1,2018,192,NA,NA,25,NA,NA,NA,NA,NA,192,25,NA,217,"Control",0
"T304705128",60,1,2018,120,NA,NA,100,NA,NA,60,NA,NA,120,100,60,280,"Control",0
"T307705125",60,1,2018,80,NA,NA,32,NA,NA,12.5,NA,NA,80,32,12.5,124.5,"Control",0
"T302608007",90,2,2018,18,NA,NA,14,NA,NA,NA,NA,NA,18,14,NA,32,"Control",0
"T302606012",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T309009013",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302608003",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T300409001",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T300404011",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T300601005",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302607006",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302609002",60,2,2018,150,NA,NA,75,NA,NA,NA,NA,NA,150,75,NA,225,"Control",0
"T309303010",60,2,2018,16,80,NA,7,56,NA,NA,NA,NA,96,63,NA,159,"Control",0
"T303603009",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302602008",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T309304113",60,1,2018,15,NA,NA,100,NA,NA,70,NA,NA,15,100,70,185,"Control",0
"T307001095",60,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T300901091",60,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T307808108",60,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T304707109",NA,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T301906103",60,1,2018,225,NA,NA,150,NA,NA,200,NA,NA,225,150,200,575,"Control",0
"T301808002",60,3,2018,40,NA,NA,150,NA,NA,180,NA,NA,40,150,180,370,"Control",0
"T301106005",60,3,2018,120,108,NA,84,95,NA,198,90,NA,228,179,288,695,"Control",0
"T307408001",60,3,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T303505004",120,3,2018,114,126,108,144,120,154,160,171,147,348,418,478,1244,"Control",0
"T302501007",60,3,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T303906006",NA,3,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T304308003",60,3,2018,130,144,140,48,52,44,NA,NA,NA,414,144,NA,558,"Control",0
"T305001120",75,1,2018,160.000002384186,NA,NA,28.0000004172325,NA,NA,288.000004291534,NA,NA,160.000002384186,28.0000004172325,288.000004291534,476.000007092953,"Treatment",1
"T304802123",60,1,2018,210,NA,NA,360,NA,NA,600,NA,NA,210,360,600,1170,"Treatment",1
"T305001121",75,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T304706130",60,1,2018,600,NA,NA,750,NA,NA,1080,NA,NA,600,750,1080,2430,"Control",0
"T304706131",90,1,2018,72.0000028610229,NA,NA,72.0000028610229,NA,NA,NA,NA,NA,72.0000028610229,72.0000028610229,NA,144.000005722046,"Control",0
"T304702127",60,1,2018,27.9999995231628,NA,NA,11.1999998092651,NA,NA,NA,NA,NA,27.9999995231628,11.1999998092651,NA,39.199999332428,"Control",0
"T300406135",60,1,2018,24,50,NA,112.5,50,NA,150,50,NA,74,162.5,200,436.5,"Treatment",1
"T300406089",60,1,2018,75,NA,NA,135,NA,NA,150,NA,NA,75,135,150,360,"Treatment",1
"T301503134",60,1,2018,75,NA,NA,150,NA,NA,225,NA,NA,75,150,225,450,"Control",0
"T304705090",65,1,2018,6.00000023841858,NA,NA,6.00000023841858,NA,NA,NA,NA,NA,6.00000023841858,6.00000023841858,NA,12.0000004768372,"Control",0
"T305004088",60,1,2018,125,NA,NA,125,NA,NA,900,NA,NA,125,125,900,1150,"Control",0
"T301503081",60,1,2018,200,40,NA,50,28,NA,40,40,NA,240,78,80,398,"Control",0
"T303907079",120,1,2018,32,NA,NA,42,NA,NA,56,NA,NA,32,42,56,130,"Control",0
"T301502085",60,1,2018,25,NA,NA,12,NA,NA,NA,NA,NA,25,12,NA,37,"Control",0
"T301001084",60,1,2018,35,NA,NA,9,NA,NA,NA,NA,NA,35,9,NA,44,"Control",0
"T304807087",60,1,2018,15,5,NA,6,6,NA,NA,NA,NA,20,12,NA,32,"Control",0
"T304804086",60,1,2018,178.5,NA,NA,85,NA,NA,NA,NA,NA,178.5,85,NA,263.5,"Control",0
"T304808083",60,1,2018,56,NA,NA,30,NA,NA,NA,NA,NA,56,30,NA,86,"Control",0
"T304808082",60,1,2018,40,40,NA,10,10,NA,NA,NA,NA,80,20,NA,100,"Control",0
"T301503080",60,1,2018,37.5,NA,NA,24,NA,NA,NA,NA,NA,37.5,24,NA,61.5,"Control",0
"T305105014",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T309006004",1,2,2018,131.25,NA,NA,7.5,NA,NA,NA,NA,NA,131.25,7.5,NA,138.75,"Control",0
"T305102015",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T309504024",60,2,2018,200,NA,NA,240,NA,NA,NA,NA,NA,200,240,NA,440,"Control",0
"T302608050",90,2,2018,360,NA,NA,325,NA,NA,NA,NA,NA,360,325,NA,685,"Control",0
"T300401028",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T305104033",60,2,2018,150,NA,NA,35,NA,NA,NA,NA,NA,150,35,NA,185,"Control",0
"T300607023",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T305404025",90,2,2018,390,NA,NA,250,NA,NA,NA,NA,NA,390,250,NA,640,"Control",0
"T309904032",90,2,2018,30,NA,NA,10,NA,NA,NA,NA,NA,30,10,NA,40,"Control",0
"T300603032",160,2,2018,125,NA,NA,180,NA,NA,NA,NA,NA,125,180,NA,305,"Control",0
"T301911010",75,3,2018,500,NA,NA,225,NA,NA,243.75,NA,NA,500,225,243.75,968.75,"Treatment",1
"T306004001",60,2,2018,25,NA,NA,90,NA,NA,75,NA,NA,25,90,75,190,"Treatment",1
"T305607002",50,2,2018,128.000001907349,NA,NA,256.000003814697,NA,NA,64.0000009536743,NA,NA,128.000001907349,256.000003814697,64.0000009536743,448.00000667572,"Treatment",1
"T300307001",60,2,2018,200,NA,NA,NA,NA,NA,180,NA,NA,200,NA,180,380,"Treatment",1
"T304802030",50,1,2018,NA,NA,NA,24.0000009536743,NA,NA,15.0000005960464,NA,NA,NA,24.0000009536743,15.0000005960464,39.0000015497208,"Treatment",1
"T306102001",45,2,2018,200,NA,NA,25,NA,NA,150,NA,NA,200,25,150,375,"Treatment",1
"T305519001",NA,3,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T305607004",30,2,2018,54.0000021457672,NA,NA,72.0000028610229,NA,NA,18.0000007152557,NA,NA,54.0000021457672,72.0000028610229,18.0000007152557,144.000005722046,"Treatment",1
"T302806050",50,1,2018,15.0000005960464,NA,NA,72.0000028610229,NA,NA,72.0000028610229,NA,NA,15.0000005960464,72.0000028610229,72.0000028610229,159.000006318092,"Treatment",1
"T306102002",60,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T309708020",50,1,2018,240,NA,NA,30,NA,NA,120,NA,NA,240,30,120,390,"Treatment",1
"T305607005",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T308705001",30,2,2018,NA,12.5,NA,NA,NA,NA,NA,12.5,NA,12.5,NA,12.5,25,"Treatment",1
"T305602003",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T308707002",25,2,2018,1620,NA,NA,900,NA,NA,1080,NA,NA,1620,900,1080,3600,"Treatment",1
"T305602001",20,2,2018,NA,225,NA,NA,120,NA,NA,264,NA,225,120,264,609,"Control",0
"T303007001",20,2,2018,100,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,100,"Treatment",1
"T300508099",60,3,2018,50,NA,NA,150,NA,NA,450,NA,NA,50,150,450,650,"Treatment",1
"T308703001",30,2,2018,50,NA,NA,50,NA,NA,NA,NA,NA,50,50,NA,100,"Treatment",1
"T302608032",30,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302608033",20,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302609007",30,2,2018,60.0000023841858,NA,NA,36.0000014305115,NA,NA,NA,NA,NA,60.0000023841858,36.0000014305115,NA,96.0000038146973,"Control",0
"T302603034",30,2,2018,100,NA,NA,150,NA,NA,NA,NA,NA,100,150,NA,250,"Treatment",1
