"year","district","household_questionnaire_id","days_in_a_season_pump_use_s_p1","hours_per_day_use_s__p_1","days_in_a_season_pump_use_s_p2","hours_per_day_use_s__p_2","days_in_a_season_pump_use_s_p3","hours_per_day_use_s__p_3","days_in_a_season_pump_use_m_p1","hours_per_day_use_m__p_1","days_in_a_season_pump_use_m_p2","hours_per_day_use_m__p_2","days_in_a_season_pump_use_m_p3","hours_per_day_use_m__p_3","days_in_a_season_pump_use_w_p1","hours_per_day_use_w__p_1","days_in_a_season_pump_use_w_p2","hours_per_day_use_w__p_2","days_in_a_season_pump_use_w_p3","hours_per_day_use_w__p_3","TreatmentControl","TC","ps1","ps2","ps3","pm1","pm2","pm3","pw1","pw2","pw3","Summer_hr","Monsoon_hr","Winter_hr","Yearly_hr","p1_hr","p2_hr","p3_hr","days_monsoon","days_winter","days_summer","days_year","days_p1","days_p2","days_p3"
2019,"Saptari","T100501007",4,3,NA,NA,NA,NA,3,NA,NA,4,NA,NA,4,5,NA,NA,NA,NA,"Control",NA,12,NA,NA,NA,NA,NA,20,NA,NA,12,NA,20,32,32,NA,NA,3,4,4,11,11,NA,NA
2019,"Saptari","T203901008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,"Saptari","T104203004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,80,80,80,NA,NA,NA,20,NA,20,20,NA,NA
2019,"Saptari","T108803015",2,2,NA,NA,NA,NA,5,8,7,10,NA,NA,8,10,5,8,NA,NA,"Control",NA,4,NA,NA,40,70,NA,80,40,NA,4,110,120,234,124,110,NA,12,13,2,27,15,12,NA
2019,"Saptari","T200102004",NA,NA,NA,NA,NA,NA,10,NA,NA,5,NA,NA,8,2,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,16,16,16,NA,NA,10,8,NA,18,18,NA,NA
2019,"Saptari","T109201006",NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,13,1,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,13,13,13,NA,NA,1,13,NA,14,14,NA,NA
2019,"Saptari","T211002001",20,1,NA,NA,NA,NA,15,NA,NA,8,NA,NA,6,10,NA,NA,NA,NA,"Control",NA,20,NA,NA,NA,NA,NA,60,NA,NA,20,NA,60,80,80,NA,NA,15,6,20,41,41,NA,NA
2019,"Saptari","T102007004",NA,NA,NA,NA,NA,NA,5,6,1,5,NA,NA,5,4,5,3,NA,NA,"Control",NA,NA,NA,NA,30,5,NA,20,15,NA,NA,35,35,70,50,20,NA,6,10,NA,16,10,6,NA
2019,"Saptari","T205104006",4,4,NA,NA,NA,NA,6,NA,NA,4,NA,NA,8,5,NA,NA,NA,NA,"Control",NA,16,NA,NA,NA,NA,NA,40,NA,NA,16,NA,40,56,56,NA,NA,6,8,4,18,18,NA,NA
2019,"Saptari","T110510001",3,3,NA,NA,NA,NA,8,NA,NA,3,NA,NA,4,3,NA,NA,NA,NA,"Control",NA,9,NA,NA,NA,NA,NA,12,NA,NA,9,NA,12,21,21,NA,NA,8,4,3,15,15,NA,NA
2019,"Saptari","T203907006",4,4,NA,NA,NA,NA,8,NA,NA,3,NA,NA,4,2,NA,NA,NA,NA,"Control",NA,16,NA,NA,NA,NA,NA,8,NA,NA,16,NA,8,24,24,NA,NA,8,4,4,16,16,NA,NA
2019,"Saptari","T110502004",4,2,NA,NA,NA,NA,4,NA,NA,3,NA,NA,3,2,NA,NA,NA,NA,"Control",NA,8,NA,NA,NA,NA,NA,6,NA,NA,8,NA,6,14,14,NA,NA,4,3,4,11,11,NA,NA
2019,"Saptari","T203908009",NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,2,6,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,12,12,12,NA,NA,1,2,NA,3,3,NA,NA
2019,"Saptari","C001410002",4,3,NA,NA,NA,NA,4,NA,NA,3,NA,NA,4,4,NA,NA,NA,NA,"Control",NA,12,NA,NA,NA,NA,NA,16,NA,NA,12,NA,16,28,28,NA,NA,4,4,4,12,12,NA,NA
2019,"Saptari","T108808014",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,4,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,12,12,12,NA,NA,NA,3,NA,3,3,NA,NA
2019,"Saptari","T109201007",NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA
2019,"Saptari","T109908003",NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,4,NA,NA
2019,"Saptari","T203900307",NA,NA,NA,NA,NA,NA,2,NA,NA,10,NA,NA,15,12,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,180,180,180,NA,NA,2,15,NA,17,17,NA,NA
2019,"Saptari","T110503003",4,3,NA,NA,NA,NA,20,NA,NA,5,NA,NA,10,6,NA,NA,NA,NA,"Control",NA,12,NA,NA,NA,NA,NA,60,NA,NA,12,NA,60,72,72,NA,NA,20,10,4,34,34,NA,NA
2019,"Saptari","T206702001",8,3,NA,NA,NA,NA,3,NA,NA,4,NA,NA,15,10,NA,NA,NA,NA,"Control",NA,24,NA,NA,NA,NA,NA,150,NA,NA,24,NA,150,174,174,NA,NA,3,15,8,26,26,NA,NA
2019,"Saptari","T110507002",NA,NA,NA,NA,NA,NA,30,NA,NA,6,NA,NA,30,4,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,120,120,120,NA,NA,30,30,NA,60,60,NA,NA
2019,"Saptari","T109903002",NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,3,6,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,18,18,18,NA,NA,4,3,NA,7,7,NA,NA
2019,"Saptari","T106006002",5,4,NA,NA,NA,NA,4,NA,NA,4,NA,NA,3,4,NA,NA,NA,NA,"Control",NA,20,NA,NA,NA,NA,NA,12,NA,NA,20,NA,12,32,32,NA,NA,4,3,5,12,12,NA,NA
2019,"Saptari","A104507035",70,4,NA,NA,NA,NA,40,NA,NA,3,NA,NA,60,3,NA,NA,NA,NA,"Treatment",1,280,NA,NA,NA,NA,NA,180,NA,NA,280,NA,180,460,460,NA,NA,40,60,70,170,170,NA,NA
2019,"Saptari","E104705010",3,4,NA,NA,NA,NA,8,NA,NA,4,NA,NA,8,4,NA,NA,NA,NA,"Treatment",1,12,NA,NA,NA,NA,NA,32,NA,NA,12,NA,32,44,44,NA,NA,8,8,3,19,19,NA,NA
2019,"Saptari","A110402001",2,2,NA,NA,NA,NA,5,NA,NA,3,NA,NA,15,7,NA,NA,NA,NA,"Treatment",1,4,NA,NA,NA,NA,NA,105,NA,NA,4,NA,105,109,109,NA,NA,5,15,2,22,22,NA,NA
2019,"Saptari","T210709003",60,8,NA,NA,NA,NA,10,1,4,7,4,1,30,9,NA,NA,NA,NA,"Treatment",1,480,NA,NA,10,28,4,270,NA,NA,480,42,270,792,760,28,4,18,30,60,108,100,4,4
2019,"Saptari","T210408001",10,5,NA,NA,NA,NA,25,NA,NA,3,NA,NA,80,4,7,3,NA,NA,"Treatment",1,50,NA,NA,NA,NA,NA,320,21,NA,50,NA,341,391,370,21,NA,25,87,10,122,115,7,NA
2019,"Saptari","T109205004",35,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,5,NA,NA,NA,NA,"Treatment",1,210,NA,NA,NA,NA,NA,225,NA,NA,210,NA,225,435,435,NA,NA,NA,45,35,80,80,NA,NA
2019,"Saptari","T102007001",NA,NA,NA,NA,NA,NA,10,NA,NA,6,NA,NA,5,4,NA,NA,NA,NA,"Treatment",1,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,20,20,20,NA,NA,10,5,NA,15,15,NA,NA
2019,"Saptari","T210708002",80,4,35,3,NA,NA,40,NA,NA,3,NA,NA,35,4,NA,NA,NA,NA,"Treatment",1,320,105,NA,NA,NA,NA,140,NA,NA,425,NA,140,565,460,105,NA,40,35,115,190,155,35,NA
2019,"Saptari","T210101002",5,6,10,12,NA,NA,18,15,20,10,NA,NA,12,12,16,8,NA,NA,"Treatment",1,30,120,NA,270,200,NA,144,128,NA,150,470,272,892,444,448,NA,38,28,15,81,35,46,NA
2019,"Saptari","T203908001",4,3,NA,NA,NA,NA,7,NA,NA,7,NA,NA,5,7,NA,NA,NA,NA,"Treatment",1,12,NA,NA,NA,NA,NA,35,NA,NA,12,NA,35,47,47,NA,NA,7,5,4,16,16,NA,NA
2019,"Saptari","T203901002",NA,NA,NA,NA,NA,NA,6,1,1,8,NA,NA,6,8,1,1,NA,NA,"Treatment",1,NA,NA,NA,6,8,NA,48,1,NA,NA,14,49,63,54,9,NA,7,7,NA,14,12,2,NA
2019,"Saptari","T103204001",15,8,NA,NA,NA,NA,30,NA,NA,6,NA,NA,30,5,NA,NA,NA,NA,"Treatment",1,120,NA,NA,NA,NA,NA,150,NA,NA,120,NA,150,270,270,NA,NA,30,30,15,75,75,NA,NA
2019,"Saptari","T109902001",NA,NA,NA,NA,NA,NA,6,NA,NA,9,NA,NA,4,2,NA,NA,NA,NA,"Treatment",1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,8,8,NA,NA,6,4,NA,10,10,NA,NA
2019,"Saptari","T200103002",NA,NA,NA,NA,2,2,25,4,2,6,1,2,20,5,5,3,5,4,"Treatment",1,NA,NA,4,100,12,2,100,15,20,4,114,135,253,200,27,26,28,30,2,60,45,7,8
2019,"Saptari","T210904001",8,3,3,4,2,1,10,2,6,4,6,2,15,5,10,3,9,4,"Treatment",1,24,12,2,20,24,12,75,30,36,38,56,141,235,119,66,50,22,34,13,69,33,19,17
2019,"Saptari","T110505001",NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,4,6,NA,NA,NA,NA,"Treatment",1,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,24,24,24,NA,NA,4,4,NA,8,8,NA,NA
2019,"Saptari","T109203001",6,5,5,5,NA,NA,10,5,6,5,NA,NA,12,8,2,8,NA,NA,"Treatment",1,30,25,NA,50,30,NA,96,16,NA,55,80,112,247,176,71,NA,16,14,11,41,28,13,NA
2019,"Saptari","T205105003",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,5,NA,NA,NA,NA,"Treatment",1,25,NA,NA,NA,NA,NA,125,NA,NA,25,NA,125,150,150,NA,NA,NA,25,5,30,30,NA,NA
2019,"Saptari","T106605002",5,4,4,2,NA,NA,6,4,2,8,NA,NA,8,4,2,3,NA,NA,"Treatment",1,20,8,NA,24,16,NA,32,6,NA,28,40,38,106,76,30,NA,8,10,9,27,19,8,NA
2019,"Saptari","T106604004",5,3,NA,NA,NA,NA,4,NA,NA,2,NA,NA,4,2,NA,NA,NA,NA,"Control",NA,15,NA,NA,NA,NA,NA,8,NA,NA,15,NA,8,23,23,NA,NA,4,4,5,13,13,NA,NA
2018,"RSB","T302607029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T309308027",5,8,NA,NA,NA,NA,4,4,NA,NA,NA,NA,3,12,NA,NA,NA,NA,"Control",NA,40,NA,NA,16,NA,NA,36,NA,NA,40,16,36,92,92,NA,NA,4,3,5,12,12,NA,NA
2018,"RSB","T302608026",6,8,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,48,NA,NA,12,NA,NA,NA,NA,NA,48,12,NA,60,60,NA,NA,2,NA,6,8,8,NA,NA
2018,"RSB","T302608031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T302608030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T302608029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T302606024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T301502075",5,7,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,35,NA,NA,24,NA,NA,NA,NA,NA,35,24,NA,59,59,NA,NA,4,NA,5,9,9,NA,NA
2018,"RSB","T303807077",4,6,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,24,NA,NA,6,NA,NA,NA,NA,NA,24,6,NA,30,30,NA,NA,1,NA,4,5,5,NA,NA
2018,"RSB","T301502070",4,80,3,60,NA,NA,2,20,1,8,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,320,180,NA,40,8,NA,NA,NA,NA,500,48,NA,548,360,188,NA,3,NA,7,10,6,4,NA
2018,"RSB","T301503071",4,5,NA,NA,NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,20,NA,NA,20,NA,NA,NA,NA,NA,20,20,NA,40,40,NA,NA,1,NA,4,5,5,NA,NA
2018,"RSB","T301502072",3,6,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,18,NA,NA,6,NA,NA,NA,NA,NA,18,6,NA,24,24,NA,NA,1,NA,3,4,4,NA,NA
2018,"RSB","T303806076",4,8,NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,32,NA,NA,8,NA,NA,NA,NA,NA,32,8,NA,40,40,NA,NA,1,NA,4,5,5,NA,NA
2018,"RSB","T303806078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T301502069",6,10,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,60,NA,NA,10,NA,NA,NA,NA,NA,60,10,NA,70,70,NA,NA,2,NA,6,8,8,NA,NA
2018,"RSB","T301502074",20,5,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,100,NA,NA,28,NA,NA,NA,NA,NA,100,28,NA,128,128,NA,NA,7,NA,20,27,27,NA,NA
2018,"RSB","T301503073",5,9,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,45,NA,NA,24,NA,NA,NA,NA,NA,45,24,NA,69,69,NA,NA,4,NA,5,9,9,NA,NA
2018,"RSB","T307006094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T307707110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T307103092",25,6,NA,NA,NA,NA,13,4,NA,NA,NA,NA,30,8,NA,NA,NA,NA,"Control",NA,150,NA,NA,52,NA,NA,240,NA,NA,150,52,240,442,442,NA,NA,13,30,25,68,68,NA,NA
2018,"RSB","T304905099",60,7,NA,NA,NA,NA,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,420,NA,NA,75,NA,NA,NA,NA,NA,420,75,NA,495,495,NA,NA,15,NA,60,75,75,NA,NA
2018,"RSB","T308603106",25,8,NA,NA,NA,NA,5,7,NA,NA,NA,NA,10,4,NA,NA,NA,NA,"Control",NA,200,NA,NA,35,NA,NA,40,NA,NA,200,35,40,275,275,NA,NA,5,10,25,40,40,NA,NA
2018,"RSB","T300902111",60,11,NA,NA,NA,NA,60,9,NA,NA,NA,NA,10,8,NA,NA,NA,NA,"Control",NA,660,NA,NA,540,NA,NA,80,NA,NA,660,540,80,1280,1280,NA,NA,60,10,60,130,130,NA,NA
2018,"RSB","T300509098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T307001096",15,5,NA,NA,NA,NA,20,5,NA,NA,NA,NA,5,5,NA,NA,NA,NA,"Control",NA,75,NA,NA,100,NA,NA,25,NA,NA,75,100,25,200,200,NA,NA,20,5,15,40,40,NA,NA
2018,"RSB","T308601105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T307005097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T301602107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T301907112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T304901100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T304905101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T304906102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T302409104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T307103093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T307705126",10,16,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,160,NA,NA,10,NA,NA,NA,NA,NA,160,10,NA,170,170,NA,NA,2,NA,10,12,12,NA,NA
2018,"RSB","T307003117",12,7,NA,NA,NA,NA,10,5,NA,NA,NA,NA,15,10,NA,NA,NA,NA,"Control",NA,84,NA,NA,50,NA,NA,150,NA,NA,84,50,150,284,284,NA,NA,10,15,12,37,37,NA,NA
2018,"RSB","T305007121",10,8,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,80,NA,NA,24,NA,NA,NA,NA,NA,80,24,NA,104,104,NA,NA,4,NA,10,14,14,NA,NA
2018,"RSB","T305004118",15,5,10,6,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,75,60,NA,25,NA,NA,NA,NA,NA,135,25,NA,160,100,60,NA,5,NA,25,30,20,10,NA
2018,"RSB","T305006119",8,6,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,48,NA,NA,15,NA,NA,NA,NA,NA,48,15,NA,63,63,NA,NA,3,NA,8,11,11,NA,NA
2018,"RSB","T304707129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T307006116",3,5,20,10,NA,NA,15,15,10,7,NA,NA,15,12,10,7,NA,NA,"Control",NA,15,200,NA,225,70,NA,180,70,NA,215,295,250,760,420,340,NA,25,25,23,73,33,40,NA
2018,"RSB","T304802122",8,8,NA,NA,NA,NA,20,3,NA,NA,NA,NA,30,3,NA,NA,NA,NA,"Treatment",1,64,NA,NA,60,NA,NA,90,NA,NA,64,60,90,214,214,NA,NA,20,30,8,58,58,NA,NA
2018,"RSB","T302004124",20,9,NA,NA,NA,NA,7,6,NA,NA,NA,NA,5,5,NA,NA,NA,NA,"Control",NA,180,NA,NA,42,NA,NA,25,NA,NA,180,42,25,247,247,NA,NA,7,5,20,32,32,NA,NA
2018,"RSB","T307003115",10,10,NA,NA,NA,NA,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,100,NA,NA,30,NA,NA,NA,NA,NA,100,30,NA,130,130,NA,NA,3,NA,10,13,13,NA,NA
2018,"RSB","T306708132",16,12,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,192,NA,NA,25,NA,NA,NA,NA,NA,192,25,NA,217,217,NA,NA,5,NA,16,21,21,NA,NA
2018,"RSB","T304705128",15,8,NA,NA,NA,NA,20,5,NA,NA,NA,NA,10,6,NA,NA,NA,NA,"Control",NA,120,NA,NA,100,NA,NA,60,NA,NA,120,100,60,280,280,NA,NA,20,10,15,45,45,NA,NA
2018,"RSB","T307705125",20,8,NA,NA,NA,NA,8,8,NA,NA,NA,NA,5,5,NA,NA,NA,NA,"Control",NA,160,NA,NA,64,NA,NA,25,NA,NA,160,64,25,249,249,NA,NA,8,5,20,33,33,NA,NA
2018,"RSB","T302608007",6,6,NA,NA,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,36,NA,NA,28,NA,NA,NA,NA,NA,36,28,NA,64,64,NA,NA,4,NA,6,10,10,NA,NA
2018,"RSB","T302606012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T309009013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T302608003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T300409001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T300404011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T300601005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T302607006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T302609002",4,25,NA,NA,NA,NA,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,100,NA,NA,50,NA,NA,NA,NA,NA,100,50,NA,150,150,NA,NA,2,NA,4,6,6,NA,NA
2018,"RSB","T309303010",8,2,20,4,NA,NA,7,1,14,4,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,16,80,NA,7,56,NA,NA,NA,NA,96,63,NA,159,23,136,NA,21,NA,28,49,15,34,NA
2018,"RSB","T303603009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T302602008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"RSB","T309304113",3,5,NA,NA,NA,NA,20,5,NA,NA,NA,NA,10,7,NA,NA,NA,NA,"Control",NA,15,NA,NA,100,NA,NA,70,NA,NA,15,100,70,185,185,NA,NA,20,10,3,33,33,NA,NA
2018,"RSB","T307001095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
