"","yearweek","total_killed","total_events_located_IL","total_events_located_yesha","total_events_target_civilian","total_events_target_security_forces","total_attacks","q1","q2","survey_date","temperature","humidity","week_range","week_number","week0ago","week1ago","week2ago","week3ago","week4ago"
"266","2005-W38",1,0,1,1,0,1,NA,NA,NA,26.63392857,65.875,"2005-09-18 UTC--2005-09-24 UTC","week1ago",1,0,0,0,0
"267","2005-W39",NA,NA,NA,NA,NA,NA,2.784313725,3.47254902,"29/09/2005",25.3625,59.89285714,NA,"week5ago",0,1,0,0,0
"268","2005-W40",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3625,64.39285714,NA,"week4ago",0,0,1,0,0
"269","2005-W41",NA,NA,NA,NA,NA,NA,NA,NA,NA,23.87142857,65.98214286,NA,"week3ago",0,0,0,1,0
"270","2005-W42",3,0,1,1,0,1,NA,NA,NA,20.64107143,58.03571429,"2005-10-16 UTC--2005-10-22 UTC","week2ago",3,0,0,0,1
"271","2005-W43",7,1,0,1,0,1,NA,NA,NA,21.20357143,56.48214286,"2005-10-23 UTC--2005-10-29 UTC","week1ago",7,3,0,0,0
"272","2005-W44",1,0,1,0,1,1,2.700970874,3.568932039,"31/10/2005",17.80535714,66.75,"2005-10-30 UTC--2005-11-05 UTC","week8ago",1,7,3,0,0
"273","2005-W45",NA,NA,NA,NA,NA,NA,NA,NA,NA,17.20535714,65.125,NA,"week7ago",0,1,7,3,0
"274","2005-W46",NA,NA,NA,NA,NA,NA,NA,NA,NA,17.07857143,69.21428571,NA,"week6ago",0,0,1,7,3
"275","2005-W47",NA,NA,NA,NA,NA,NA,NA,NA,NA,17.14107143,68.76785714,NA,"week5ago",0,0,0,1,7
"276","2005-W48",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.66607143,70.51785714,NA,"week4ago",0,0,0,0,1
"277","2005-W49",6,1,1,1,1,2,NA,NA,NA,17.54464286,79.08928571,"2005-12-04 UTC--2005-12-10 UTC","week3ago",6,0,0,0,0
"278","2005-W50",1,0,1,1,0,1,NA,NA,NA,16.38214286,77.17857143,"2005-12-11 UTC--2005-12-17 UTC","week2ago",1,6,0,0,0
"279","2005-W51",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.18571429,79.71428571,NA,"week1ago",0,1,6,0,0
"280","2005-W52",1,0,1,1,0,1,2.729249012,3.296442688,"28/12/2005",12.64107143,65.96428571,"2005-12-25 UTC--2005-12-31 UTC","week5ago",1,0,1,6,0
"281","2006-W01",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.22857143,61.14285714,NA,"week4ago",0,1,0,1,6
"282","2006-W02",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.31964286,86.80357143,NA,"week3ago",0,0,1,0,1
"283","2006-W03",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.27678571,77.91071429,NA,"week2ago",0,0,0,1,0
"284","2006-W04",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4125,72.625,NA,"week1ago",0,0,0,0,1
"285","2006-W05",NA,NA,NA,NA,NA,NA,2.821568627,3.421568627,"31/01/2006",13.3125,72.19642857,NA,"week4ago",0,0,0,0,0
"286","2006-W06",1,1,0,1,0,1,NA,NA,NA,13.31428571,72.58928571,"2006-02-05 UTC--2006-02-11 UTC","week3ago",1,0,0,0,0
"287","2006-W07",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.71785714,72.01785714,NA,"week2ago",0,1,0,0,0
"288","2006-W08",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3875,61.875,NA,"week1ago",0,0,1,0,0
"289","2006-W09",1,0,1,1,0,1,2.874251497,3.550898204,"28/02/2006",15.37678571,73.51785714,"2006-02-26 UTC--2006-03-04 UTC","week4ago",1,0,0,1,0
"290","2006-W10",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.04107143,65.21428571,NA,"week3ago",0,1,0,0,1
"291","2006-W11",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.37678571,65.05357143,NA,"week2ago",0,0,1,0,0
"292","2006-W12",NA,NA,NA,NA,NA,NA,NA,NA,NA,17.59107143,63.58928571,NA,"week1ago",0,0,0,1,0
"293","2006-W13",4,0,1,1,0,1,2.712598425,3.484251969,"31/03/2006",16.24642857,69.41071429,"2006-03-26 UTC--2006-04-01 UTC","week5ago",4,0,0,0,1
"294","2006-W14",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.60892857,75.21428571,NA,"week4ago",0,4,0,0,0
"295","2006-W15",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.76071429,70.01785714,NA,"week3ago",0,0,4,0,0
"296","2006-W16",7,1,0,1,0,1,NA,NA,NA,19.01964286,72.75,"2006-04-16 UTC--2006-04-22 UTC","week2ago",7,0,0,4,0
"297","2006-W17",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65.44642857,NA,"week1ago",0,7,0,0,4
"298","2006-W18",NA,NA,NA,NA,NA,NA,2.914342629,3.599601594,"30/04/2006",19.64464286,69.28571429,NA,"week4ago",0,0,7,0,0
"299","2006-W19",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5375,64.96428571,NA,"week3ago",0,0,0,7,0
"300","2006-W20",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.53035714,69.01785714,NA,"week2ago",0,0,0,0,7
"301","2006-W21",NA,NA,NA,NA,NA,NA,NA,NA,NA,22.94285714,70.07142857,NA,"week1ago",0,0,0,0,0
"302","2006-W22",NA,NA,NA,NA,NA,NA,2.825147348,3.701375246,"31/05/2006",23.97678571,74.21428571,NA,"week4ago",0,0,0,0,0
"303","2006-W23",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.95535714,66.875,NA,"week3ago",0,0,0,0,0
"304","2006-W24",NA,NA,NA,NA,NA,NA,NA,NA,NA,23.87678571,63.83928571,NA,"week2ago",0,0,0,0,0
"305","2006-W25",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9625,70.78571429,NA,"week1ago",0,0,0,0,0
"306","2006-W26",3,1,1,1,1,2,3.100393701,3.816929134,"30/06/2006",26.26428571,71.89285714,"2006-06-25 UTC--2006-07-01 UTC","week5ago",3,0,0,0,0
"307","2006-W27",NA,NA,NA,NA,NA,NA,NA,NA,NA,26.70178571,68.85714286,NA,"week4ago",0,3,0,0,0
"308","2006-W28",NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6875,65.30357143,NA,"week3ago",0,0,3,0,0
"309","2006-W29",1,0,1,0,1,1,NA,NA,NA,26.56964286,70.03571429,"2006-07-16 UTC--2006-07-22 UTC","week2ago",1,0,0,3,0
"310","2006-W30",1,0,1,1,0,1,NA,NA,NA,26.81071429,70.41071429,"2006-07-23 UTC--2006-07-29 UTC","week1ago",1,1,0,0,3
"311","2006-W31",NA,NA,NA,NA,NA,NA,0,0,"31/07/2006",26.71607143,71.07142857,NA,"week4ago",0,1,1,0,0
"312","2006-W32",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1,68.27272727,NA,"week3ago",0,0,1,1,0
"313","2006-W33",1,0,1,0,1,1,NA,NA,NA,27.47857143,67.67857143,"2006-08-13 UTC--2006-08-19 UTC","week2ago",1,0,0,1,1
"314","2006-W34",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3625,72.51785714,NA,"week1ago",0,1,0,0,1
"315","2006-W35",NA,NA,NA,NA,NA,NA,0,0,"31/08/2006",27.64464286,65.14285714,NA,"week4ago",0,0,1,0,0
"316","2006-W36",NA,NA,NA,NA,NA,NA,NA,NA,NA,26.45,64.14285714,NA,"week3ago",0,0,0,1,0
"317","2006-W37",1,0,1,0,1,1,NA,NA,NA,27.0125,70.375,"2006-09-10 UTC--2006-09-16 UTC","week2ago",1,0,0,0,1
"318","2006-W38",NA,NA,NA,NA,NA,NA,NA,NA,NA,26.62857143,64.125,NA,"week1ago",0,1,0,0,0
"319","2006-W39",NA,NA,NA,NA,NA,NA,2.874285714,3.813333333,"26/09/2006",25.79107143,58.69642857,NA,"week5ago",0,0,1,0,0
"320","2006-W40",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.775,67.42857143,NA,"week4ago",0,0,0,1,0
"321","2006-W41",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.92678571,57.375,NA,"week3ago",0,0,0,0,1
"322","2006-W42",NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7375,65.44642857,NA,"week2ago",0,0,0,0,0
"323","2006-W43",NA,NA,NA,NA,NA,NA,NA,NA,NA,21.06964286,73.125,NA,"week1ago",0,0,0,0,0
"324","2006-W44",1,0,1,0,1,1,2.949392713,3.591093117,"31/10/2006",20.34642857,68.25,"2006-10-29 UTC--2006-11-04 UTC","week4ago",1,0,0,0,0
"325","2006-W45",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.50178571,65.375,NA,"week3ago",0,1,0,0,0
"326","2006-W46",1,1,0,1,0,1,NA,NA,NA,17.24821429,76.66071429,"2006-11-12 UTC--2006-11-18 UTC","week2ago",1,0,1,0,0
"327","2006-W47",1,1,0,1,0,1,NA,NA,NA,16.53928571,64.55357143,"2006-11-19 UTC--2006-11-25 UTC","week1ago",1,1,0,1,0
"328","2006-W48",NA,NA,NA,NA,NA,NA,2.75739645,3.680473373,"30/11/2006",14.90357143,54.48214286,NA,"week4ago",0,1,1,0,1
"329","2006-W49",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.65,53.85714286,NA,"week3ago",0,0,1,1,0
"330","2006-W50",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.19642857,60.26785714,NA,"week2ago",0,0,0,1,1
"331","2006-W51",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.84107143,65.96363636,NA,"week1ago",0,0,0,0,1
"332","2006-W52",NA,NA,NA,NA,NA,NA,2.901639344,3.668032787,"30/12/2006",10.21607143,75.25,NA,"week6ago",0,0,0,0,0
"333","2006-W53",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,88.25,NA,"week5ago",0,0,0,0,0
"334","2007-W00",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.42083333,79.125,NA,"week4ago",0,0,0,0,0
"335","2007-W01",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.19107143,69.30357143,NA,"week3ago",0,0,0,0,0
"336","2007-W02",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.36428571,74.625,NA,"week2ago",0,0,0,0,0
"337","2007-W03",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.76607143,72.53571429,NA,"week1ago",0,0,0,0,0
"338","2007-W04",3,1,0,1,0,1,2.746588694,3.576998051,"31/01/2007",12.99821429,72.16071429,"2007-01-28 UTC--2007-02-03 UTC","week4ago",3,0,0,0,0
"339","2007-W05",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.19285714,77.69642857,NA,"week3ago",0,3,0,0,0
"340","2007-W06",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.08571429,75.64285714,NA,"week2ago",0,0,3,0,0
"341","2007-W07",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.975,70.625,NA,"week1ago",0,0,0,3,0
"342","2007-W08",1,0,1,1,0,1,2.634920635,3.642857143,"28/02/2007",14.68392857,75.41071429,"2007-02-25 UTC--2007-03-03 UTC","week4ago",1,0,0,0,3
"343","2007-W09",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.175,69.07142857,NA,"week3ago",0,1,0,0,0
"344","2007-W10",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.51607143,74.60714286,NA,"week2ago",0,0,1,0,0
"345","2007-W11",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.66071429,65.41071429,NA,"week1ago",0,0,0,1,0
"346","2007-W12",NA,NA,NA,NA,NA,NA,2.521568627,3.474509804,"28/03/2007",15.15,69.32142857,NA,"week5ago",0,0,0,0,1
"347","2007-W13",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.64642857,64.76785714,NA,"week4ago",0,0,0,0,0
"348","2007-W14",NA,NA,NA,NA,NA,NA,NA,NA,NA,17.00892857,71.46428571,NA,"week3ago",0,0,0,0,0
"349","2007-W15",NA,NA,NA,NA,NA,NA,NA,NA,NA,17.83214286,63.23214286,NA,"week2ago",0,0,0,0,0
"350","2007-W16",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.21785714,59.32142857,NA,"week1ago",0,0,0,0,0
"351","2007-W17",NA,NA,NA,NA,NA,NA,2.668518519,3.562962963,"30/04/2007",21.28035714,60.375,NA,"week4ago",0,0,0,0,0
"352","2007-W18",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.13571429,63.67857143,NA,"week3ago",0,0,0,0,0
"353","2007-W19",NA,NA,NA,NA,NA,NA,NA,NA,NA,21.49285714,71.08928571,NA,"week2ago",0,0,0,0,0
"354","2007-W20",1,1,0,1,0,1,NA,NA,NA,22.24181818,66.16666667,"2007-05-20 UTC--2007-05-26 UTC","week1ago",1,0,0,0,0
"355","2007-W21",1,1,0,1,0,1,2.859375,3.7578125,"31/05/2007",23.87321429,62.75,"2007-05-27 UTC--2007-06-02 UTC","week4ago",1,1,0,0,0
"356","2007-W22",NA,NA,NA,NA,NA,NA,NA,NA,NA,23.44464286,67.19642857,NA,"week3ago",0,1,1,0,0
"357","2007-W23",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.77857143,66.33928571,NA,"week2ago",0,0,1,1,0
"358","2007-W24",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.46964286,70.30357143,NA,"week1ago",0,0,0,1,1
"359","2007-W25",NA,NA,NA,NA,NA,NA,2.85770751,3.681818182,"30/06/2007",27.80892857,64.39285714,NA,"week5ago",0,0,0,0,1
"360","2007-W26",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.99821429,68.39285714,NA,"week4ago",0,0,0,0,0
"361","2007-W27",1,0,1,0,1,1,NA,NA,NA,26.59107143,67.30357143,"2007-07-08 UTC--2007-07-14 UTC","week3ago",1,0,0,0,0
"362","2007-W28",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27678571,67.69642857,NA,"week2ago",0,1,0,0,0
"363","2007-W29",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.50535714,68.32142857,NA,"week1ago",0,0,1,0,0
"364","2007-W30",NA,NA,NA,NA,NA,NA,2.960707269,3.683693517,"31/07/2007",28.59642857,68.25,NA,"week4ago",0,0,0,1,0
"365","2007-W31",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.42142857,61.10714286,NA,"week3ago",0,0,0,0,1
"366","2007-W32",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.23571429,67.25,NA,"week2ago",0,0,0,0,0
"367","2007-W33",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.82678571,71.03571429,NA,"week1ago",0,0,0,0,0
"368","2007-W34",NA,NA,NA,NA,NA,NA,3.121031746,3.954365079,"31/08/2007",28.09464286,70.30357143,NA,"week5ago",0,0,0,0,0
"369","2007-W35",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.10535714,67.08928571,NA,"week4ago",0,0,0,0,0
"370","2007-W36",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.72321429,61.42857143,NA,"week3ago",0,0,0,0,0
"371","2007-W37",1,0,1,0,1,1,NA,NA,NA,25.6125,67.75,"2007-09-16 UTC--2007-09-22 UTC","week2ago",1,0,0,0,0
"372","2007-W38",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.98214286,65.89285714,NA,"week1ago",0,1,0,0,0
"373","2007-W39",NA,NA,NA,NA,NA,NA,3,3.778455285,"30/09/2007",25.51071429,70,NA,"week4ago",0,0,1,0,0
"374","2007-W40",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7125,70.55357143,NA,"week3ago",0,0,0,1,0
"375","2007-W41",1,0,1,0,1,1,NA,NA,NA,24.14821429,60.75,"2007-10-14 UTC--2007-10-20 UTC","week2ago",1,0,0,0,1
"376","2007-W42",NA,NA,NA,NA,NA,NA,NA,NA,NA,23.39107143,69.69642857,NA,"week1ago",0,1,0,0,0
"377","2007-W43",1,0,1,0,1,1,2.648702595,3.46506986,"31/10/2007",21.99285714,70.85714286,"2007-10-28 UTC--2007-11-03 UTC","week4ago",1,0,1,0,0
"378","2007-W44",NA,NA,NA,NA,NA,NA,NA,NA,NA,22.04285714,55.30357143,NA,"week3ago",0,1,0,1,0
"379","2007-W45",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.84642857,66.69642857,NA,"week2ago",0,0,1,0,1
"380","2007-W46",1,0,1,1,0,1,NA,NA,NA,16.5875,77.89285714,"2007-11-18 UTC--2007-11-24 UTC","week1ago",1,0,0,1,0
"381","2007-W47",NA,NA,NA,NA,NA,NA,2.756,3.534,"30/11/2007",16.40535714,67.92857143,NA,"week5ago",0,1,0,0,1
"382","2007-W48",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.26785714,76.25,NA,"week4ago",0,0,1,0,0
"383","2007-W49",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.19642857,70.39285714,NA,"week3ago",0,0,0,1,0
"384","2007-W50",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6875,77.07142857,NA,"week2ago",0,0,0,0,1
"385","2007-W51",2,0,1,1,0,1,NA,NA,NA,12.81785714,65.98214286,"2007-12-23 UTC--2007-12-29 UTC","week1ago",2,0,0,0,0
"386","2007-W52",NA,NA,NA,NA,NA,NA,2.811507937,3.507936508,"31/12/2007",10.3125,59.375,NA,"week5ago",0,2,0,0,0
"387","2008-W00",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.55,73.9,NA,"week4ago",0,0,2,0,0
"388","2008-W01",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.87321429,74.66071429,NA,"week3ago",0,0,0,2,0
"389","2008-W02",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.489285714,50.42857143,NA,"week2ago",0,0,0,0,2
"390","2008-W03",1,0,1,0,1,1,NA,NA,NA,11.1875,74.60714286,"2008-01-20 UTC--2008-01-26 UTC","week1ago",1,0,0,0,0
"391","2008-W04",NA,NA,NA,NA,NA,NA,2.942574257,3.691089109,"31/01/2008",11.17636364,74.67857143,NA,"week4ago",0,1,0,0,0
"392","2008-W05",1,1,0,1,0,1,NA,NA,NA,12.64464286,67.41071429,"2008-02-03 UTC--2008-02-09 UTC","week3ago",1,0,1,0,0
"393","2008-W06",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.90892857,76.78571429,NA,"week2ago",0,1,0,1,0
"394","2008-W07",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.98392857,68.44642857,NA,"week1ago",0,0,1,0,1
"395","2008-W08",3,1,1,1,1,2,3.033932136,3.754491018,"29/02/2008",14.33392857,76.32142857,"2008-02-24 UTC--2008-03-01 UTC","week5ago",3,0,0,1,0
"396","2008-W09",10,1,1,1,1,2,NA,NA,NA,17.55714286,68.125,"2008-03-02 UTC--2008-03-08 UTC","week4ago",10,3,0,0,1
"397","2008-W10",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.65535714,68.91071429,NA,"week3ago",0,10,3,0,0
"398","2008-W11",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.49821429,54.48214286,NA,"week2ago",0,0,10,3,0
"399","2008-W12",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.76607143,48.57142857,NA,"week1ago",0,0,0,10,3
"400","2008-W13",NA,NA,NA,NA,NA,NA,0,0,"31/03/2008",17.03214286,66.03571429,NA,"week4ago",0,0,0,0,10
"401","2008-W14",3,1,1,1,1,2,NA,NA,NA,18.7125,63.46428571,"2008-04-06 UTC--2008-04-12 UTC","week3ago",3,0,0,0,0
"402","2008-W15",3,1,0,0,1,1,NA,NA,NA,21.55535714,55.66071429,"2008-04-13 UTC--2008-04-19 UTC","week2ago",3,3,0,0,0
"403","2008-W16",2,0,1,1,0,1,NA,NA,NA,23.04642857,55.19642857,"2008-04-20 UTC--2008-04-26 UTC","week1ago",2,3,3,0,0
"404","2008-W17",NA,NA,NA,NA,NA,NA,0,0,"30/04/2008",18.41785714,63.625,NA,"week4ago",0,2,3,3,0
"405","2008-W18",1,1,0,1,0,1,NA,NA,NA,19.75357143,59.92857143,"2008-05-04 UTC--2008-05-10 UTC","week3ago",1,0,2,3,3
"406","2008-W19",1,1,0,1,0,1,NA,NA,NA,21.73392857,58.16071429,"2008-05-11 UTC--2008-05-17 UTC","week2ago",1,1,0,2,3
"407","2008-W20",NA,NA,NA,NA,NA,NA,NA,NA,NA,21.86428571,70.83928571,NA,"week1ago",0,1,1,0,2
"408","2008-W21",NA,NA,NA,NA,NA,NA,0,0.003944773,"31/05/2008",22.56964286,69.80357143,NA,"week5ago",0,0,1,1,0
"409","2008-W22",1,1,0,1,0,1,NA,NA,NA,24.64285714,63.85714286,"2008-06-01 UTC--2008-06-07 UTC","week4ago",1,0,0,1,1
"410","2008-W23",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.04285714,60.28571429,NA,"week3ago",0,1,0,0,1
"411","2008-W24",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.23928571,64.75,NA,"week2ago",0,0,1,0,0
"412","2008-W25",NA,NA,NA,NA,NA,NA,NA,NA,NA,26.48571429,69.71428571,NA,"week1ago",0,0,0,1,0
"413","2008-W26",2,1,0,1,0,1,2.833001988,3.666003976,"30/06/2008",26.84107143,70.26785714,"2008-06-29 UTC--2008-07-05 UTC","week5ago",2,0,0,0,1
